Title,Ingredients,Preparation,Benefits,Category
- Strain the liquid and allow it to cool
- Use it as a hair rinse
- leave it on for  to  minutes before rinsing off with cold water
- Repeat two to three times a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Source: ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr
- Hansaji Yogendra"" Remedy  Chickpea Flour and Sandalwood Powder Cleanser General Skin Care) Ingredients: Half teaspoon chickpea (besan) flour
- teaspoon sandalwood powder
- Preparation: Mix chickpea flour and sandalwood powder with a little water just before washing your face daily
- Health Benefits: Gentle cleanser for the skin
- Remedy  Neem Powder and Honey Face Mask (for Kapha Dosha/Oily Skin) Ingredients: Half teaspoon neem powder
- one teaspoon honey
- Preparation: Mix neem powder with honey
- leave it on for  minutes before rinsing off
- Health Benefits: Neem and honey have cleansing and moisturizing properties
- Remedy  Aloe Vera Gel and Turmeric Paste (for Pitta Dosha/Sensitive Skin) Ingredients:  tablespoon of aloe vera gel
- a pinch of turmeric
- Preparation: Mix aloe vera gel with turmeric to form a cooling paste
- Apply to any red or inflamed areas
- keep on for  minutes
- and rinse off
- Health Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties
- Remedy  Honey and Rose Water Face Mask (for Vata Dosha/Dry Skin) Untitled  Ingredients: Half tablespoon honey
- tablespoon of rose water
- Preparation: Mix honey and rose water
- Apply gently on the face
- massage
- and leave it for  minutes before washing out
- Health Benefits: Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin
- Source: ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin"" Remedy  Curd and Rice Ingredients: Cooked rice
- fresh curd
- optional seasoning (jeera
- asafoetida)
- Preparation: Mix cooked rice with fresh curd
- add optional seasoning
- Eat after five to six hours (allows for slight fermentation)
- Consume cool
- Health Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion
- Curd is an excellent probiotic for a healthy gut
- Remedy  Baking Soda Drink Ingredients: A teaspoon full of baking soda
- a glass of cold water
- Preparation: Dissolve baking soda in cold water and drink it slowly
- Health Benefits: Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion
- Remedy  Ginger
- Lemon Juice
- and Honey Mixture Ingredients: A spoonful of ginger juice
- a spoonful of lemon juice
- spoons of honey
- warm water
- Preparation: Mix ginger juice
- lemon juice
- and honey together
- and take it with warm water
- Health Benefits: Very good treatment for indigestion
- flatulence
- and acidity
- Remedy  Asafoetida Hing) Drink Ingredients:  grams of asafoetida (hing)
- a glass of hot water
- a little sugar
- Untitled  Preparation: Dissolve asafoetida and sugar in hot water and drink
- Health Benefits: Provides quick relief from indigestion and flatulence
- Source: ""Easy ways to prevent indigestion | Dr
- Hansaji Yogendra"" Remedy  Aloe Vera and Glycerin Sunscreen Spray Ingredients: Aloe vera juice
- a few drops of glycerin
- rose water
- Preparation: Combine all ingredients in a spray bottle and spray on any exposed part of the body
- Health Benefits: Aloe vera is a natural and effective sunblock
- Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moisture
- Remedy  Aloe Vera and Zinc Lotion Sunscreen Ingredients: One teaspoon aloe vera gel
- half teaspoon jojoba oil
- ml of water
- to  teaspoon of zinc oxide (for SPF 
- optional  capsule of Vitamin E (avoid for oily/acne-prone skin)
- Preparation: Mix aloe vera gel
- jojoba oil
- and water to make a lotion
- Add zinc oxide and optionally Vitamin E
- Apply on exposed skin before going out
- Health Benefits: Aloe vera protects by blocking up to % of UV rays
- Zinc oxide works by scattering sun rays
- preventing harmful UV radiation
- Remedy  Milk and Lemon Juice Sunscreen Ingredients: Two tablespoons of raw milk
- one teaspoon of lemon juice
- Preparation: Mix raw milk and lemon juice well
- Dab with a cotton ball and apply all over the exposed area
- Health Benefits: Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn
- Lemon juice (high in Vitamin C helps in reducing spots and pigmentation
- Source: ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins"" Remedy  Multani Mitti Fuller's Earth) Pack Untitled  Ingredients: Multani mitti
- a little haldi (turmeric)
- a little sandalwood powder
- a little lemon
- a little milk
- Preparation: Mix all ingredients to make a paste
- Apply on the face
- let it dry completely
- then wash face with cold water
- Health Benefits: Cleansing and rejuvenating for the skin
- Remedy  Yogurt and Black Pepper Pack Ingredients: Yogurt
- black pepper
- Preparation: Apply yogurt and black pepper on the face
- keep for some time
- then massage and wash it out after  minutes
- Health Benefits: Black pepper helps increase oxygen to the skin
- removes inflammation and infections
- Remedy  Aloe Vera Gel with Turmeric or Green Tea Ingredients: Aloe vera gel
- turmeric or green tea
- Preparation: Take a little aloe vera gel
- add turmeric
- or add green tea
- Apply on the face
- stay for some time
- and then wash it out
- Health Benefits: Helps reduce inflammation and remove bacteria from the skin
- allowing skin to heal naturally
- helps remove excess oil and gives good health to the skin
- Remedy  Honey Ingredients: Honey
- Preparation: Apply a few drops of honey on pimples
- rub gently
- keep for  minutes
- and then rinse with warm water
- Health Benefits: Good moisturizer
- keeps skin moist and soft
- Source: ""DIY Remedies for acne | Natural Beauty | Dr
- Hansaji Yogendra"" Remedy  Coconut Oil as Natural Sunscreen Ingredients: Coconut oil
- Preparation: Use coconut oil as a natural sunscreen when stepping out
- Health Benefits: Protects skin from UV damage
- Untitled  Remedy  Ayurvedic Manjistha and Chandan Sandalwood) Pack Ingredients: Cus or Khus root
- powdered Manjistha
- Preparation: Soak Cus or Khus root overnight in water
- Next morning
- mix this water with powdered Manjistha to create a smooth paste
- Apply it to cleansed skin
- leave for  minutes
- and then rinse off with warm water
- Use weekly
- Health Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin
- Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation
- Cleanses
- nourishes
- and rejuvenates the skin
- Remedy  Alum and Rose Water Toner Ingredients: A small amount of alum powder
- rose water
- Preparation: Dissolve alum powder in rose water
- Dab it on cleansed skin using a cotton pad daily
- Health Benefits: Alum (astringent and antibacterial) helps tighten pores
- preventing clogging and formation of pimples
- and reduces excess oil production
- Rose water (soothing and hydrating) reduces inflammation and skin flare-ups
- Remedy  Avocado Spirulina Smoothie Ingredients: One ripe avocado
- one teaspoon of spirulina powder
- Preparation: Blend the avocado and spirulina powder to make a smoothie
- Consume regularly
- Health Benefits: Avocado (rich in Vitamin C and E helps in skin repair and hydration
- Spirulina is nutrient-dense
- has anti-inflammatory properties
- helps build collagen
- and promotes detoxification
- Together
- they fight acne from within
- Source: ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies"" Remedy  Water
- Lemon Juice
- Honey
- Pepper
- Turmeric Ingredients: Water
- lemon juice
- honey
- a pinch of pepper
- a little turmeric
- Untitled  Preparation: Mix all ingredients in a glass of water and drink before going to bed
- Health Benefits: Aids in bowel movements
- Remedy  Water and Lemon Juice Ingredients: Water
- lemon juice
- Preparation: Drink water with lemon juice
- Health Benefits: Works wonders for constipation
- Remedy  Warm Water Ingredients: Warm water
- Preparation: Drink warm water first thing in the morning
- Health Benefits: Helps in easy bowel movements
- Source: ""Best Tips on How to Overcome Constipation | Dr
- Hansaji Yogendra"" Remedy  Rice Flour and Rose Water Scrub Ingredients: Rice flour
- rose water
- Preparation: Mix rice flour with rose water to make a scrub
- Apply in a circular motion on the skin
- keep for  minutes
- and then wash it off
- Health Benefits: Exfoliates dead skin
- makes skin radiant and healthy- looking
- Remedy  Sugar and Coconut Oil Scrub Ingredients: Sugar crystals
- coconut oil
- Preparation: Mix sugar crystals and coconut oil well
- Apply in a circular motion on the skin
- keep for  minutes
- and then wash it off
- Health Benefits: Exfoliates dead skin
- makes hands smooth
- nourishes skin
- and makes it glow
- Remedy  Banana
- Aloe
- and Olive Oil Hand Mask Ingredients: One ripe banana (mashed)
- one tablespoon full of aloe vera gel
- one tablespoon olive oil (can substitute with coconut oil
- jojoba
- almond oils)
- Untitled  Preparation: Mix all ingredients to form a paste
- Apply a generous amount all over your hands
- especially on the palm and back of the palm
- Leave it for  minutes and wash it out with warm water
- Health Benefits: Moisturizes instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production
- Source: ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands"" Remedy  Black Sesame Seeds and Jaggery Ingredients: Black sesame seeds (kala til)
- jaggery
- Preparation: Roast black sesame seeds slightly
- Consume them as is
- twist with cereal
- or make sweets with jaggery
- Health Benefits: Black sesame seeds are rich in iron
